tourist-season,event,vessels,voyages,totalpassenger
1999/2000,iaato,,154,14623
2000/2001,iaato,,131,12109
2001/2002,iaato,,117,13458
2002/2003,iaato,,136,15687
2003/2004,iaato,,180,24318
2004/2005,iaato,,207,27324
2005/2006,iaato,,249,29799
2006/2007,iaato,,268,35552
2007/2008,iaato,55,308,45652
2008/2009,iaato,53,290,37573
2009/2010,iaato,51,239,36642
2010/2011,iaato,47,223,33438
2011/2012,iaato,41,234,26003
2012/2013,iaato,45,258,33962
2013/2014,iaato,51,283,37044
2014/2015,iaato,44,268,36271
2015/2016,iaato,48,286,38069
2016/2017,iaato,47,298,43915
2017/2018,iaato,50,344,51707
1999/2000,sg,,34,5089
2000/2001,sg,,27,3840
2001/2002,sg,,33,4561
2002/2003,sg,,45,6783
2003/2004,sg,,42,6691
2004/2005,sg,,40,6533
2005/2006,sg,,49,9596
2006/2007,sg,,51,8963
2007/2008,sg,,62,14137
2008/2009,sg,,70,13718
2009/2010,sg,,63,12473
2010/2011,sg,,46,9014
2011/2012,sg,,51,9984
2012/2013,sg,,51,9980
2013/2014,sg,,55,11792
2014/2015,sg,,65,13829
2015/2016,sg,,68,15264
2016/2017,sg,23,68,15303
2017/2018,sg,28,82,17720
