polymer,species,total
PET,C. gunnari - plastic,1
PA,C. gunnari - plastic,1
PMA,C. gunnari - plastic,5
EVA,C. gunnari - plastic,1
PUR,C. gunnari - plastic,1
PP,C. gunnari - plastic,1
other,C. gunnari - plastic,4
PA,C. gunnari - composite,1
PEST,C. gunnari - composite,4
PEST-mix,C. gunnari - composite,1
PNMA,C. gunnari - composite,2
PET,G. gibberifrons - plastic,2
PMA,G. gibberifrons - plastic,1
PUR,G. gibberifrons - plastic,1
PP,G. gibberifrons - plastic,1
PE,G. gibberifrons - composite,1
PEST-mix,G. gibberifrons - composite,1
PNMA,G. gibberifrons - composite,1
PP,G. gibberifrons - composite,1
other,G. gibberifrons - composite,1
,,
,,
,,
,,
,,
,,
,,
,,
